id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas
cryp-017,crypto-operations,multiple-choice,intermediate,both,In a TLS 1.3 handshake with X25519MLKEM768 hybrid key exchange what happens if the PQC component fails?,The entire handshake fails,The connection falls back to X25519-only classical key exchange,The server switches to RSA key exchange,The client retries with a different PQC algorithm,a,"Once X25519MLKEM768 is negotiated and selected by both parties, both the X25519 and ML-KEM-768 components must succeed — there is no mid-handshake fallback. The handshake fails entirely. Note: during initial TLS negotiation (before selection), if one party does not support the hybrid group, a different mutually supported key exchange would be negotiated instead.",/learn/tls-basics,researcher|developer
cryp-018,crypto-operations,multi-select,advanced,full,Which of the following PQC operations are significantly slower than their classical counterparts? (Select all that apply),SLH-DSA signing (vs. RSA signing),ML-KEM key generation (vs. RSA key generation),ML-DSA verification (vs. ECDSA verification),FrodoKEM encapsulation (vs. ML-KEM encapsulation),a|d,"SLH-DSA signing is 50-500x slower than RSA-2048 signing. FrodoKEM encapsulation is 10-20x slower than ML-KEM due to its use of unstructured LWE. ML-KEM key generation is actually 80x faster than RSA, and ML-DSA verification speed is comparable to ECDSA.",/algorithms,researcher|developer
cryp-019,crypto-operations,multiple-choice,beginner,both,"In a PQC key exchange, what is ""encapsulation""?",Wrapping a private key in a hardware module,Using a recipient's public key to generate a ciphertext and shared secret,Compressing a digital signature,Encrypting a certificate for transmission,b,Encapsulation is the process where one party uses the recipient's public key to generate two outputs: a ciphertext (sent to the recipient) and a shared secret (kept locally). The recipient decapsulates the ciphertext with their private key to recover the same shared secret.,/playground,researcher|developer
cryp-020,crypto-operations,multiple-choice,advanced,full,What is the approximate stack RAM requirement for ML-KEM-768 operations?,~300 bytes (similar to Ed25519),~6KB,~180KB (similar to FrodoKEM),~1MB,b,"ML-KEM-768 requires approximately 6KB of stack RAM — efficient enough for many embedded and constrained devices. Compare this to FrodoKEM-1344 at ~180KB (impractical for IoT) or Ed25519 at ~300 bytes (classical, extremely lightweight).",/algorithms,researcher|developer
diga-001,digital-assets,multiple-choice,beginner,both,What are the three cryptographic pillars that secure blockchain systems?,Firewalls + VPNs + passwords,"Keys & signatures, hash functions, and address derivation",TLS certificates + OAuth + SAML,Symmetric encryption + MAC + timestamps,b,"Blockchains are fundamentally cryptographic systems built on three pillars: (1) keys and digital signatures for transaction authorization, (2) hash functions for integrity and address derivation, and (3) address derivation pipelines that transform public keys into chain-specific addresses. There is no central authority — cryptography alone establishes ownership.",/learn/digital-assets,researcher
diga-002,digital-assets,multiple-choice,beginner,both,Which elliptic curve is used by both Bitcoin and Ethereum for key generation and transaction signing?,Ed25519,Curve25519,secp256k1,P-256,c,"Both Bitcoin and Ethereum use the secp256k1 elliptic curve (defined in SEC 2 by Certicom, 2010) for key generation and ECDSA digital signatures. secp256k1 provides 128-bit security with 256-bit keys. Solana uses Ed25519 instead.",/learn/digital-assets,researcher
diga-003,digital-assets,true-false,beginner,both,True or False: Solana uses the same elliptic curve (secp256k1) as Bitcoin and Ethereum.,True,False,,,false,"False. Solana uses Ed25519 (a twisted Edwards curve defined in RFC 8032), not secp256k1. Ed25519 provides 128-bit security with 32-byte public keys and uses EdDSA for signatures with deterministic nonces, unlike the random nonces used by secp256k1 ECDSA.",/learn/digital-assets,researcher
diga-004,digital-assets,multiple-choice,intermediate,both,What is the critical difference between ECDSA (used by Bitcoin/Ethereum) and EdDSA (used by Solana) in terms of nonce generation?,ECDSA uses deterministic nonces; EdDSA uses random nonces,ECDSA uses random nonces (nonce reuse leaks the private key); EdDSA derives nonces deterministically from the private key and message,Both use random nonces but EdDSA adds a checksum,Both use deterministic nonces but with different hash functions,b,"ECDSA requires a random nonce (k) for each signature. If the same nonce is ever reused with different messages, the private key can be algebraically recovered. EdDSA (Ed25519) eliminates this vulnerability entirely by deriving the nonce deterministically from the private key and the message being signed — no random number generator is needed.",/learn/digital-assets,researcher
diga-005,digital-assets,multiple-choice,intermediate,both,How does Bitcoin derive an address from a public key?,Keccak-256 hash of the public key then take last 20 bytes,SHA-256 then RIPEMD-160 then Base58Check encoding,Direct Base58 encoding of the 32-byte public key,SHA-3 hash followed by Bech32 encoding,b,"Bitcoin address derivation (P2PKH) follows a specific pipeline: compressed public key (33 bytes) is first hashed with SHA-256, then with RIPEMD-160 to produce a 20-byte hash, and finally encoded with Base58Check (which adds a version byte and 4-byte checksum) to produce the familiar ""1..."" address format.",/learn/digital-assets,researcher
diga-006,digital-assets,multiple-choice,beginner,both,"In Solana, what is the relationship between a public key and an address?",The address is a Keccak-256 hash of the public key,The address is derived from SHA-256 + RIPEMD-160 of the public key,The 32-byte Ed25519 public key IS the address (Base58-encoded),The address is a truncated version of the public key,c,"Solana has the simplest address derivation of the three chains: the 32-byte Ed25519 public key is directly Base58-encoded to become the address. There is no hashing step. This means Solana addresses always expose the full public key, which has implications for quantum vulnerability.",/learn/digital-assets,researcher
diga-007,digital-assets,true-false,intermediate,both,True or False: Ethereum uses NIST SHA3-256 (the standardized version) for address derivation.,True,False,,,false,"False. Ethereum uses Keccak-256, which is the original Keccak submission to the SHA-3 competition. NIST SHA3-256 differs from Keccak-256 in its padding scheme. This distinction matters because using the wrong hash function would produce incorrect addresses.",/learn/digital-assets,researcher
diga-008,digital-assets,multiple-choice,intermediate,both,What does BIP-39 define?,The hierarchical deterministic key derivation tree structure,The conversion of random entropy into a 24-word mnemonic phrase for wallet backup,The multi-account path structure (m/44'/coin'/...),The Ed25519 derivation standard for Solana,b,BIP-39 (Bitcoin Improvement Proposal 39) defines how random entropy (128-256 bits) is converted into a human-readable mnemonic phrase (12-24 words) plus an optional passphrase. The mnemonic serves as a portable backup for HD wallets. The seed is derived from the mnemonic via PBKDF2 with 2048 rounds of HMAC-SHA512.,/learn/digital-assets,researcher
diga-009,digital-assets,multiple-choice,intermediate,both,What is the standard BIP-44 derivation path for the first Bitcoin address?,m/44'/501'/0'/0',m/44'/60'/0'/0/0,m/44'/0'/0'/0/0,m/0'/0'/0'/0/0,c,"The BIP-44 derivation path for Bitcoin is m/44'/0'/0'/0/0, where: m = master key, 44' = BIP-44 purpose (hardened), 0' = Bitcoin coin type (hardened), 0' = account #0 (hardened), 0 = external chain (receiving), 0 = address index #0. Ethereum uses coin type 60, and Solana uses coin type 501.",/learn/digital-assets,researcher
diga-010,digital-assets,multi-select,intermediate,both,Which of the following are true about Solana's HD wallet derivation? (Select all that apply),Uses SLIP-0010 instead of BIP-32,All path segments must be hardened,Uses coin type 501,Supports non-hardened child key derivation,a|b|c,"Solana uses SLIP-0010 (not BIP-32) for HD wallet derivation because Ed25519 does not support non-hardened child key derivation. The path m/44'/501'/0'/0' has all segments hardened (denoted by the apostrophe). This is a fundamental difference from Bitcoin and Ethereum, which support both hardened and non-hardened derivation.",/learn/digital-assets,researcher
diga-011,digital-assets,multiple-choice,beginner,both,What quantum algorithm threatens the security of blockchain digital signatures (both ECDSA and EdDSA)?,Grover's Algorithm,Shor's Algorithm,Deutsch-Jozsa Algorithm,Simon's Algorithm,b,"Shor's Algorithm can solve the elliptic curve discrete logarithm problem (ECDLP) in polynomial time, enabling a quantum computer to derive private keys from public keys. This breaks both secp256k1 ECDSA (Bitcoin/Ethereum) and Ed25519 EdDSA (Solana). Grover's Algorithm only provides a quadratic speedup against symmetric ciphers and hash functions.",/learn/digital-assets,researcher
diga-012,digital-assets,true-false,beginner,both,"True or False: Bitcoin P2PKH addresses (starting with ""1"") keep the public key hidden until the first spending transaction.",True,False,,,true,"True. P2PKH (Pay-to-Public-Key-Hash) addresses only reveal the hash of the public key. The actual public key is not exposed until the owner signs a spending transaction. However, the older P2PK format and any address that has already transacted expose the public key permanently on the immutable blockchain.",/learn/digital-assets,researcher
