reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info
CA-TBS-SPIN-PQC-2025,Canada TBS SPIN 2025-01 — Migrating Government of Canada Systems to Post-Quantum Cryptography,https://www.canada.ca/en/government/system/digital-government/policies-standards/spin/migrating-government-canada-post-quantum-cryptography.html,2025-01-01,2025-01-01,Published,Treasury Board of Canada Secretariat (TBS) Security Policy Implementation Notice (SPIN 2025-01) directing all federal departments to begin PQC migration planning. Establishes inventory requirements and migration timelines for Government of Canada IT systems.,Compliance/Policy,Government & Defense; Technology,Treasury Board of Canada Secretariat; Government of Canada,CA-CFDIR-Quantum-Readiness-2023;FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Canada,Lattice-based; Hash-based,N/A,TLS; X.509; PKI; SSH,Government of Canada IT systems,High,New,Government Guidance,yes,public/library/CA-TBS-SPIN-PQC-2025.html,compliance-strategy;pqc-governance;migration-program;pqc-risk-management,
IN-CERTIN-QBOM-Guidelines-2025,"India CERT-In Technical Guidelines on SBOM, QBOM, CBOM, AIBOM, and HBOM v2.0","https://www.cert-in.org.in/PDF/TechnicalGuidelines-on-SBOM,QBOM&CBOM,AIBOM_and_HBOM_ver2.0.pdf",2025-01-01,2025-01-01,Published,"India CERT-In v2.0 guidelines on software, quantum, cryptographic, AI, and hardware bills of materials. Includes CBOM and QBOM specifications for cryptographic inventory and quantum-readiness assessment of Indian organizations.",Guidance,Government & Defense; Technology; Critical Infrastructure; Finance & Banking,CERT-In; Indian Computer Emergency Response Team,IN-TEC-PQC-Migration-Report-2025;India-DST-NQM-Roadmap;NIST IR 8545;NIST IR 8547,India; APAC,N/A,N/A,CBOM; SBOM; QBOM,Indian organizations cryptographic inventory tools,High,New,Government Guidance,yes,public/library/IN-CERTIN-QBOM-Guidelines-2025.pdf,pqc-risk-management;migration-program;compliance-strategy;pqc-governance;data-asset-sensitivity,
US-CISA-ACDI-Strategy-2024,CISA Strategy for Migrating to Automated PQC Discovery and Inventory Tools,https://www.cisa.gov/sites/default/files/2024-09/Strategy-for-Migrating-to-Automated-PQC-Discovery-and-Inventory-Tools.pdf,2024-09-01,2024-09-01,Published,CISA strategy outlining approach for US organizations to adopt automated tools for PQC cryptographic discovery and inventory. Provides methodology for identifying all classical cryptography in use and building migration roadmaps.,Guidance,Government & Defense; Critical Infrastructure; Technology; Finance & Banking,CISA; Cybersecurity and Infrastructure Security Agency,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547;NSM-10,USA; Global,N/A,N/A,X.509; TLS; PKI,Automated cryptographic discovery tools,High,New,Government Guidance,yes,public/library/US-CISA-ACDI-Strategy-2024.pdf,pqc-risk-management;migration-program;compliance-strategy;crypto-agility;data-asset-sensitivity,
US-CISA-PQC-OT-2024,CISA Post-Quantum Considerations for Operational Technology,https://www.cisa.gov/sites/default/files/2024-10/Post-Quantum%20Considerations%20for%20Operational%20Technology%20(508).pdf,2024-10-01,2024-10-01,Published,"CISA guidance on PQC considerations specific to operational technology (OT) environments. Addresses unique migration challenges in ICS/SCADA systems including constrained devices, legacy protocols, and long operational lifetimes.",Guidance,Critical Infrastructure; Government & Defense; Energy & Utilities; Manufacturing,CISA; Cybersecurity and Infrastructure Security Agency,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547;NSM-10,USA; Global,Lattice-based; Hash-based,N/A,ICS; SCADA; Industrial protocols,OT/ICS cryptographic systems,High,New,Government Guidance,yes,public/library/US-CISA-PQC-OT-2024.pdf,iot-ot-pqc;pqc-risk-management;migration-program;compliance-strategy,
UK-CMORG-PQC-Guidance-2025,CMORG Guidance for Post-Quantum Cryptography (UK Financial Sector),https://www.cmorg.org.uk/sites/default/files/2025-06/CMORG%20-%20Guidance%20for%20Post-Quantum%20Cryptography%20-%20April%202025%20-%20TLP%20CLEAR%20(1).pdf,2025-04-01,2025-04-01,Published,"UK Cross Market Operational Resilience Group (CMORG) publishes PQC guidance for UK financial sector. Covers threat landscape, algorithm selection, migration planning, and prioritization for UK banks and financial market infrastructures.",Guidance,Finance & Banking; Government & Defense,CMORG; Bank of England; UK Financial Authorities,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547;UK-NCSC-PQC-Whitepaper-2024,United Kingdom,Lattice-based; Hash-based,N/A,TLS; X.509; HSM,UK financial institution cryptographic systems,High,New,Government Guidance,yes,public/library/UK-CMORG-PQC-Guidance-2025.pdf,compliance-strategy;pqc-risk-management;pqc-business-case;migration-program,
AU-ASD-ISM-Crypto-2024,ASD Information Security Manual — Guidelines for Cryptography (December 2024),https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,2024-12-01,2024-12-01,Published,"Australian Signals Directorate (ASD) ISM cryptography guidelines update (December 2024). Mandates transition to NIST-standardized PQC algorithms for Australian government systems, sets migration timelines, and provides algorithm selection guidance.",Compliance/Policy,Government & Defense; Critical Infrastructure; Technology,ASD; Australian Signals Directorate; ACSC,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547,Australia; Five Eyes,Lattice-based; Hash-based,"L1,L3,L5",TLS; X.509; PKI; SSH; IPsec,Australian government cryptographic systems,High,New,Government Guidance,no-network-error: The operation was aborted due to timeout,,compliance-strategy;migration-program;pqc-governance;kms-pqc;hsm-pqc,
ENISA-PQC-Integration-Study-2022,ENISA Post-Quantum Cryptography Integration Study,https://www.enisa.europa.eu/publications/post-quantum-cryptography-integration-study,2022-07-01,2022-07-01,Published,"ENISA study on integrating post-quantum cryptography into existing security protocols and systems. Analyzes PQC integration challenges for TLS, PKI, and code signing; provides recommendations for European organizations on algorithm selection and migration priorities.",Research/Report,Government & Defense; Technology; Critical Infrastructure; Finance & Banking,ENISA; European Union Agency for Cybersecurity,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,European Union,Lattice-based; Hash-based; Code-based,"L1,L3,L5",TLS; X.509; PKI; Code Signing,European cryptographic infrastructure,Medium,New,Government Guidance,yes,public/library/ENISA-PQC-Integration-Study-2022.html,compliance-strategy;crypto-agility;migration-program;tls-basics;pki-workshop,
Europol-QSFF-Call-to-Action-2025,Europol Quantum Safe Financial Forum — Call to Action,https://www.europol.europa.eu/publications-events/publications/quantum-safe-financial-forum-call-to-action,2025-01-01,2025-01-01,Published,Europol Quantum Safe Financial Forum call to action for European financial institutions to begin immediate PQC migration planning. Addresses harvest-now-decrypt-later threats to financial data and recommends coordinated sector response.,Guidance,Finance & Banking; Government & Defense,Europol; Quantum Safe Financial Forum,EC-Recommendation-2024-1101;FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,European Union,Lattice-based; Hash-based,N/A,TLS; X.509; HSM,European financial institution cryptographic systems,High,New,Government Guidance,yes,public/library/Europol-QSFF-Call-to-Action-2025.html,pqc-risk-management;compliance-strategy;migration-program;pqc-business-case,
IL-INCD-Cybersecurity-Strategy-2025,Israel National Cybersecurity Strategy 2025-2028,https://www.gov.il/BlobFolder/news/cyber_strategy_2025/en/israel_national_cybersecurity_strategy_feb2025.pdf,2025-02-01,2025-02-01,Published,"Israel National Cyber Directorate (INCD) cybersecurity strategy 2025-2028 including PQC migration as a strategic priority. Establishes national PQC program, critical infrastructure protection mandates, and R&D investment roadmap.",Guidance,Government & Defense; Critical Infrastructure; Technology; Finance & Banking,INCD; Israel National Cyber Directorate,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Israel; Middle East,N/A,N/A,TLS; X.509; PKI,Israeli government and critical infrastructure systems,High,New,Government Guidance,yes,public/library/IL-INCD-Cybersecurity-Strategy-2025.pdf,compliance-strategy;pqc-governance;pqc-risk-management;migration-program,
UK-DSIT-CNI-PQC-Perspectives-2025,UK DSIT — Perspectives on the Plan for PQC Transition from CNI Sectors,https://www.gov.uk/government/publications/perspectives-on-the-plan-for-pqc-transition,2025-07-01,2025-07-01,Published,"UK DSIT publishes perspectives report from critical national infrastructure (CNI) sector leads on PQC transition planning. Identifies sector-specific challenges across energy, transport, finance, and telecoms.",Research/Report,Critical Infrastructure; Government & Defense; Finance & Banking; Telecommunications; Energy & Utilities,DSIT; UK Department for Science Innovation and Technology,NIST IR 8545;NIST IR 8547;UK-NCSC-Migration-Timelines-2025;UK-NCSC-PQC-Whitepaper-2024,United Kingdom,N/A,N/A,TLS; X.509; PKI,UK critical national infrastructure systems,High,New,Government Guidance,yes,public/library/UK-DSIT-CNI-PQC-Perspectives-2025.html,pqc-governance;pqc-risk-management;migration-program;compliance-strategy,
US-QCCPA-2022,Quantum Computing Cybersecurity Preparedness Act (Public Law 117-260),https://www.govinfo.gov/content/pkg/PLAW-117publ260/pdf/PLAW-117publ260.pdf,2022-12-21,2022-12-21,Enacted,US federal law requiring federal agencies to inventory and migrate cryptographic systems to quantum-resistant standards. Directs NIST and OMB to develop migration guidelines and establishes annual reporting requirements for PQC migration progress.,Regulation,Government & Defense; Technology,US Congress; Office of Management and Budget,NIST IR 8545;NIST IR 8547;NSM-10;OMB-M-23-02,USA,N/A,N/A,N/A,US federal agency IT systems,Critical,New,Government Guidance,yes,public/library/US-QCCPA-2022.pdf,compliance-strategy;pqc-governance;migration-program,
GSMA-PQ03-v2-2024,GSMA PQ.03 Post-Quantum Cryptography Guidelines for Telecom Use Cases v2.0,https://www.gsma.com/newsroom/wp-content/uploads//PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,2024-11-01,2024-11-01,Published,"GSMA PQ.03 v2.0 updated PQC guidelines for telecom use cases including 5G, SIM/eSIM, roaming, and IMS. Covers algorithm selection, hybrid approaches, and migration planning for mobile network operators.",Technical Standard,Telecommunications; Government & Defense; Technology,GSMA,3GPP-PQC-Study-2025;FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Global,Lattice-based; Hash-based; Hybrid PQC,"L1,L3,L5",5G; SIM/eSIM; TLS; IMS; SIP,Mobile network operator cryptographic systems,High,New,Protocols,yes,public/library/GSMA-PQ03-v2-2024.pdf,5g-security;tls-basics;migration-program;crypto-agility,
GSMA-PQC-Country-Survey-2025,GSMA Post-Quantum Government Initiatives by Country and Region (March 2025),https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2025-03-02,2025-03-02,Published,"GSMA survey of post-quantum cryptography government initiatives across countries and regions as of March 2025. Covers national PQC programs, regulatory developments, and migration timelines for 30+ countries.",Research/Report,Government & Defense; Telecommunications; Technology,GSMA,GSMA-PQ03-v2-2024;NIST IR 8545;NIST IR 8547,Global,N/A,N/A,N/A,N/A,Medium,New,Government Guidance,yes,public/library/GSMA-PQC-Country-Survey-2025.pdf,compliance-strategy;pqc-governance;quantum-threats,
SG-MAS-Quantum-Advisory-2024,MAS Advisory on Addressing Cybersecurity Risks Associated with Quantum Computing,https://www.mas.gov.sg/regulation/circulars/advisory-on-addressing-the-cybersecurity-risks-associated-with-quantum,2024-02-20,2024-02-20,Published,Monetary Authority of Singapore (MAS) advisory requiring Singapore financial institutions to develop quantum risk management programs. Establishes timeline for financial sector PQC planning and mandates cryptographic inventory assessments.,Compliance/Policy,Finance & Banking; Technology,MAS; Monetary Authority of Singapore,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547;Singapore-NQSN-Plus,Singapore; ASEAN,Lattice-based,N/A,TLS; X.509; HSM,Singapore financial institution cryptographic systems,High,New,Government Guidance,yes,public/library/SG-MAS-Quantum-Advisory-2024.html,compliance-strategy;pqc-risk-management;migration-program;pqc-governance,
SG-MAS-QKD-Sandbox-Report-2025,MAS QKD Proof-of-Concept Sandbox Technical Report,https://www.mas.gov.sg/news/media-releases/2025/mas-and-industry-partners-publish-technical-report-on-proof-of-concept-sandbox,2025-09-29,2025-09-29,Published,"MAS and industry partners (DBS, HSBC, OCBC, UOB) technical report on QKD proof-of-concept sandbox (Sept 2024-March 2025). Reports 6.75M AES-256 keys/day per bank, demonstrating feasibility of quantum-safe key distribution in financial settlement systems.",Research/Report,Finance & Banking; Technology,MAS; DBS; HSBC; OCBC; UOB; Singtel; SPTel,SG-MAS-Quantum-Advisory-2024;Singapore-NQSN-Plus,Singapore; ASEAN,QKD; AES-256,N/A,QKD; HSM; Settlement systems,Singapore financial settlement infrastructure,Medium,New,Government Guidance,yes,public/library/SG-MAS-QKD-Sandbox-Report-2025.html,qkd;pqc-risk-management;pqc-business-case;migration-program,
NATO-Quantum-Strategy-2024,NATO Quantum Technologies Strategy,https://www.nato.int/cps/en/natohq/news_221601.htm,2024-06-01,2024-06-01,Published,NATO's first Quantum Technologies Strategy establishing quantum-safe cryptography as a priority for Alliance cybersecurity. Commits NATO and member nations to post-quantum migration of classified communications and critical military systems.,Guidance,Government & Defense; Critical Infrastructure,NATO; North Atlantic Treaty Organization,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547,Global; NATO,Lattice-based; Hash-based,N/A,TLS; PKI; VPN; IPsec,NATO military communications infrastructure,Critical,New,Government Guidance,yes,public/library/NATO-Quantum-Strategy-2024.html,compliance-strategy;pqc-governance;vpn-ssh-pqc;pqc-risk-management,
UK-NCSC-PQC-Whitepaper-2024,NCSC White Paper — Next Steps in Preparing for Post-Quantum Cryptography,https://www.ncsc.gov.uk/whitepaper/next-steps-preparing-for-post-quantum-cryptography,2024-11-01,2024-11-01,Published,"UK NCSC white paper providing updated guidance on PQC migration preparation. Covers algorithm selection, hybrid PQC, migration prioritization framework, and UK-specific timelines. Updates 2023 guidance and aligns with NIST finalized standards.",Guidance,Government & Defense; Finance & Banking; Critical Infrastructure; Technology,NCSC UK; UK National Cyber Security Centre,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547;UK-NCSC-Migration-Timelines-2025,United Kingdom; Five Eyes,Lattice-based; Hash-based; Hybrid PQC,"L1,L3,L5",TLS; X.509; PKI; SSH; IPsec,UK government and critical national infrastructure,High,New,Government Guidance,yes,public/library/UK-NCSC-PQC-Whitepaper-2024.html,compliance-strategy;migration-program;crypto-agility;pqc-governance;tls-basics,
UK-NCSC-Migration-Timelines-2025,NCSC PQC Migration Timelines Guidance,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,2025-05-01,2025-05-01,Published,UK NCSC three-phase PQC migration timeline guidance. Phase 1 (by 2028): discovery and planning; Phase 2 (2028-2031): active migration of priority systems; Phase 3 (by 2035): complete PQC migration. Includes sector-specific guidance for UK government and CNI.,Guidance,Government & Defense; Critical Infrastructure; Finance & Banking; Technology; Telecommunications,NCSC UK; UK National Cyber Security Centre,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547;UK-NCSC-PQC-Whitepaper-2024,United Kingdom; Five Eyes,Lattice-based; Hash-based; Hybrid PQC,N/A,TLS; X.509; PKI; SSH,UK government and CNI cryptographic systems,High,New,Government Guidance,yes,public/library/UK-NCSC-Migration-Timelines-2025.html,compliance-strategy;migration-program;pqc-governance;pqc-risk-management,
US-NSA-CNSA-2.0-2022,NSA Commercial National Security Algorithm Suite 2.0 (CNSA 2.0),https://www.quantum.gov/nsa-releases-future-quantum-resistant-algorithm-requirements-for-national-security-systems/,2022-09-07,2022-09-07,Published,"NSA releases CNSA 2.0 specifying quantum-resistant algorithm requirements for national security systems. Mandates ML-KEM-1024, ML-DSA-87, LMS/XMSS, SLH-DSA for different use cases. Sets 2030-2033 transition deadlines for US national security systems.",Compliance/Policy,Government & Defense; Critical Infrastructure; Aerospace & Defense,NSA; National Security Agency,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547;NSM-10,USA,Lattice-based; Hash-based; Stateful signatures,L5,TLS; X.509; PKI; SSH; IPsec; DNSSEC,US national security system cryptography,Critical,New,Government Guidance,yes,public/library/US-NSA-CNSA-2.0-2022.html,compliance-strategy;pqc-governance;kms-pqc;hsm-pqc;stateful-signatures;migration-program,
IN-TEC-PQC-Migration-Report-2025,India TEC Technical Report on Migration to Post-Quantum Cryptography,https://www.tec.gov.in/pdf/TR/Final%20technical%20report%20on%20migration%20to%20PQC%2028-03-25.pdf,2025-03-28,2025-03-28,Published,"Telecommunications Engineering Centre (TEC) India technical report on migrating to post-quantum cryptography. Covers algorithm selection (ML-KEM, ML-DSA, SLH-DSA), hybrid approaches, protocol migration for Indian telecom, and implementation guidance for operators.",Technical Report,Telecommunications; Government & Defense; Technology,TEC India; Telecommunications Engineering Centre; Department of Telecommunications,FIPS 203;FIPS 204;FIPS 205;India-DST-NQM-Roadmap;NIST IR 8545;NIST IR 8547,India; APAC,Lattice-based; Hash-based; Hybrid PQC,"L1,L3,L5",TLS; SSH; IPsec; 5G; X.509,Indian telecom operator cryptographic infrastructure,High,New,Government Guidance,yes,public/library/IN-TEC-PQC-Migration-Report-2025.pdf,5g-security;migration-program;tls-basics;vpn-ssh-pqc;compliance-strategy,
BIS-OTHP107,Project Leap Phase 2 — Quantum-proofing payment systems,https://www.bis.org/publ/othp107.pdf,2025-12-01,2025-12-01,Published,"BIS Innovation Hub Project Leap Phase 2 tests CRYSTALS-Dilithium post-quantum digital signatures in the Eurosystem T2 payment system. Demonstrates functional feasibility, performance benchmarks (PQC ~7.4× slower than RSA), interoperability across central bank configurations, and identifies challenges for hybrid cryptography migration.",Technical Report,Finance & Banking,BIS Innovation Hub; Bank of Italy; Bank of France; Deutsche Bundesbank; Nexi-Colt; Swift,BIS-Paper-158,European Union; Global,Lattice-based,L3,ISO 20022; RTGS; T2 payment system,CRYSTALS-Dilithium; HSM,High,New,Financial Sector PQC,yes,public/library/othp107.pdf,migration-program;pqc-risk-management;pqc-business-case;compliance-strategy,
RFC-9763,Related Certificates for Use in Multiple Authentications within a Protocol,https://www.rfc-editor.org/rfc/rfc9763.html,2022-03-21,2025-06-13,Proposed Standard,Defines a CSR attribute (relatedCertRequest) and X.509 extension (RelatedCertificate) that bind two certificates to the same end entity. Enables non-composite hybrid authentication using separate traditional and PQC certificates (the catalyst approach). Published as RFC 9763.,PKI/Certificate,Gov; Regulated industries; Finance; IT,IETF LAMPS; Alison Becker (NSA); Rebecca Guthrie (NSA); Michael Jenkins (NSA),FIPS 203;FIPS 204;RFC 5280,USA; Global,N/A (certificate framework),N/A,X.509 PKI; TLS; IKEv2; hybrid authentication,Reference implementation expected,High,New,PKI Certificate Management,yes,public/library/RFC-9763.html,hybrid-crypto;pki-workshop;crypto-agility,
draft-bonnell-lamps-chameleon-certs-07,A Mechanism for Encoding Differences in Paired Certificates (Chameleon Certs),https://datatracker.ietf.org/doc/draft-bonnell-lamps-chameleon-certs/,2023-05-31,2025-10-18,Active Internet-Draft,Defines an X.509v3 extension encoding differences between two paired certificates. Allows a relying party to reconstruct both traditional and PQC certificates from a single cert. Alternative to composite and related-certificate (RFC 9763) hybrid approaches. Backed by DigiCert and Entrust.,PKI/Certificate,Gov; Regulated industries; Finance; IT; Web PKI,IETF LAMPS; Corey Bonnell (DigiCert); John Gray (Entrust); D. Hook (KeyFactor); Tomofumi Okubo (DigiCert); Mike Ounsworth (Entrust),RFC 5280;RFC-9763,Global,N/A (certificate framework),N/A,X.509 PKI; TLS; hybrid certificate migration,In development,High,New,PKI Certificate Management,yes,public/library/draft-bonnell-lamps-chameleon-certs-07.html,hybrid-crypto;pki-workshop;crypto-agility,
RFC-9909,Profile for Use of SLH-DSA in the Internet X.509 PKI,https://www.rfc-editor.org/rfc/rfc9909.html,2025-10-01,2025-10-01,Proposed Standard,Defines X.509 algorithm identifiers and parameter conventions for all 12 SLH-DSA parameter sets (FIPS 205 / SPHINCS+). Specifies absent-parameters rule and self-signed certificate requirements for hash-based PQC PKI. Companion to RFC 9881 (ML-DSA in X.509).,PKI/Certificate,Gov; Regulated industries; IT,IETF LAMPS; Jake Massimo (AWS); Scott Fluhrer (Cisco),FIPS 205;RFC 5280;RFC 9881,Global,Hash-based (SLH-DSA),"L1,L3,L5",X.509 PKI; TLS; code signing; email signing,OpenSSL 3.5+; liboqs 0.14+,High,New,PKI Certificate Management,yes,public/library/RFC_9909.html,hybrid-crypto;pki-workshop;stateful-signatures,
RFC 4251,The Secure Shell (SSH) Protocol Architecture,https://www.rfc-editor.org/rfc/rfc4251.html,2006-01-01,2006-01-01,Proposed Standard,"Defines the SSH architectural framework covering transport layer, user authentication, and connection multiplexing for secure remote access.",Protocol,IT;Government;Critical Infrastructure,Tatu Ylonen; Chris M. Lonvick (Ed.),,International,N/A,N/A,SSH secure administration,OpenSSH,Medium,Validated,Protocols,,public/library/RFC_4251.html,vpn-ssh-pqc,
RFC 4253,The Secure Shell (SSH) Transport Layer Protocol,https://www.rfc-editor.org/rfc/rfc4253.html,2006-01-01,2006-01-01,Proposed Standard,"Specifies SSH transport layer cryptography including key exchange, encryption, authentication, and integrity; the primary target for PQC key exchange upgrades.",Protocol,IT;Government;Critical Infrastructure,Tatu Ylonen; Chris M. Lonvick (Ed.),RFC 4251,International,N/A,N/A,SSH key exchange; PQC hybrid SSH,OpenSSH; libssh,High,Validated,Protocols,,public/library/RFC_4253.html,vpn-ssh-pqc;tls-basics,
RFC 4301,Security Architecture for the Internet Protocol,https://www.rfc-editor.org/rfc/rfc4301.html,2005-12-01,2005-12-01,Proposed Standard,Provides the IPsec architectural framework for security services at the IP layer; foundation for all IKEv2 and ESP PQC migration work.,Protocol,IT;Government;Critical Infrastructure;Finance,Stephen Kent; Karen Seo (BBN Technologies),,International,N/A,N/A,IPsec VPN security architecture,strongSwan; OpenIKED,Medium,Validated,Protocols,,public/library/RFC_4301.html,vpn-ssh-pqc,
RFC 4303,IP Encapsulating Security Payload (ESP),https://www.rfc-editor.org/rfc/rfc4303.html,2005-12-01,2005-12-01,Proposed Standard,"Defines the ESP protocol for confidentiality, data origin authentication, integrity, and anti-replay in IPv4/IPv6; requires PQC-aware encryption updates.",Protocol,IT;Government;Critical Infrastructure,Stephen Kent (BBN Technologies),RFC 4301,International,N/A,N/A,IPsec ESP tunnel mode encryption,strongSwan; Linux kernel IPsec,Medium,Validated,Protocols,,public/library/RFC_4303.html,vpn-ssh-pqc,
RFC 5280,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,https://www.rfc-editor.org/rfc/rfc5280.html,2008-05-01,2008-05-01,Proposed Standard,"Establishes X.509 v3 certificate format, extensions, revocation lists, and PKI path validation; foundational reference for hybrid and pure PQC certificate formats.",Protocol,IT;Government;Finance;Healthcare;Critical Infrastructure,D. Cooper; S. Santesson; S. Farrell; S. Boeyen; R. Housley; W. Polk,,International,N/A,N/A,X.509 certificates; PKI path validation; CRL,OpenSSL; Bouncy Castle; EJBCA,High,Validated,PKI Certificate Management,,public/library/RFC_5280.html,pki-workshop;hybrid-crypto;crypto-agility,
RFC 6962,Certificate Transparency,https://www.rfc-editor.org/rfc/rfc6962.html,2013-06-01,2013-06-01,Experimental,Enables public logging of TLS certificates via append-only logs to detect misissued certificates; superseded by RFC 9162 but retained for historical context.,Guidance,IT;Web PKI;Finance,Ben Laurie; Adam Langley; Emilia Kasper (Google),RFC 5280,International,N/A,N/A,Certificate Transparency log servers,OpenSSL CT; Trillian,Low,Validated,PKI Certificate Management,,public/library/RFC_6962.html,pki-workshop,
RFC 8017,PKCS #1: RSA Cryptography Specifications Version 2.2,https://www.rfc-editor.org/rfc/rfc8017.html,2016-11-01,2016-11-01,Informational,"Documents RSA cryptographic primitives, encryption and signature schemes, and ASN.1 representations; the primary reference for RSA being phased out in the PQC transition.",Standard,IT;Finance;Government;Healthcare,K. Moriarty; B. Kaliski; J. Jonsson; A. Rusch,,International,RSA,"L1,L2,L3",RSA encryption; PKCS#1 signatures,OpenSSL; Bouncy Castle; Java JCE,High,Validated,General Recommendations,,public/library/RFC_8017.html,pqc-101;crypto-agility,
RFC 8446,The Transport Layer Security (TLS) Protocol Version 1.3,https://www.rfc-editor.org/rfc/rfc8446.html,2018-08-01,2018-08-01,Proposed Standard,Defines TLS 1.3 with simplified handshake and modern cryptographic requirements; the primary deployment vector for PQC algorithms via ML-KEM hybrid key exchange.,Protocol,IT;Finance;Government;Healthcare;E-Commerce,Eric Rescorla (Mozilla),RFC 5280,International,N/A,N/A,TLS 1.3 handshake; PQC hybrid key exchange,OpenSSL; BoringSSL; NSS; wolfSSL,High,Validated,Protocols,,public/library/RFC_8446.html,tls-basics;crypto-agility;hybrid-crypto,
RFC 9052,CBOR Object Signing and Encryption (COSE): Structures and Process,https://www.rfc-editor.org/rfc/rfc9052.html,2022-08-01,2022-08-01,Internet Standard,"Defines COSE protocol for signatures, MACs, and encryption using CBOR serialization; critical path for PQC adoption in IoT and constrained device environments.",Protocol,IoT;Critical Infrastructure;Government,Jim Schaad (August Cellars),,International,N/A,N/A,COSE IoT signing; constrained device crypto,RIOT-OS; Zephyr; mbedTLS,Medium,Validated,Protocols,,public/library/RFC_9052.html,iot-ot-pqc;api-security-jwt,
RFC 9580,OpenPGP,https://www.rfc-editor.org/rfc/rfc9580.html,2024-07-01,2024-07-01,Proposed Standard,"Specifies OpenPGP message formats for encryption, digital signatures, compression, and key management with modern cryptographic practices; prepares ecosystem for PQC signature integration.",Protocol,IT;Government;Secure Messaging,Paul Wouters; Daniel Huigens; Justus Winter; Niibe Yutaka,RFC 5280,International,N/A,N/A,OpenPGP email encryption and signing,GnuPG; OpenPGP.js; rnp,High,Validated,Protocols,,public/library/RFC_9580.html,email-signing,
RFC 9593,Announcing Supported Authentication Methods in IKEv2,https://www.rfc-editor.org/rfc/rfc9593.html,2024-07-01,2024-07-01,Proposed Standard,"Introduces a mechanism for IKEv2 peers to announce supported authentication methods, enabling negotiation of PQC signature algorithms for hybrid key exchange.",Protocol,IT;Government;Critical Infrastructure,Valery Smyslov,IETF RFC 7296,International,N/A,N/A,IKEv2 auth method negotiation; PQC signatures,strongSwan; OpenIKED,Medium,Validated,Protocols,,public/library/RFC_9593.html,vpn-ssh-pqc,
RFC 9847,IANA Registry Updates for TLS and DTLS,https://www.rfc-editor.org/rfc/rfc9847.html,2025-12-01,2025-12-01,Proposed Standard,Adds a Discouraged designation to TLS/DTLS IANA registries to flag weak or deprecated cryptographic mechanisms while maintaining backward compatibility.,Guidance,IT;Government;Standards Bodies,Joseph A. Salowey; Sean Turner,,International,N/A,N/A,TLS cipher suite deprecation; algorithm governance,IANA TLS registry; browser vendors,Medium,Validated,Protocols,,public/library/RFC_9847.html,tls-basics;crypto-agility,
NIST IR 8105,Report on Post-Quantum Cryptography,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8105.pdf,2016-04-28,2016-04-28,Final,Foundational NIST report examining quantum computing threats to current cryptographic standards. Outlines the need for and announces the PQC standardization initiative that produced FIPS 203/204/205.,Research/Report,IT; Government; Cryptography Research,NIST,,USA; Global,N/A,N/A,PQC standardization planning,Reference,Medium,New,General PQC Migration,yes,public/library/NIST_IR_8105.pdf,pqc-101;quantum-threats,NIST PQC standardization origin document
