id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas,industries
es-005,email-signing,multiple-choice,intermediate,both,What is CMS SignedData used for in S/MIME?,Encrypting the email body so only the recipient can read it,Digitally signing the email to prove authenticity and integrity,Compressing the email for smaller transmission size,Establishing a TLS connection to the mail server,b,"CMS SignedData wraps a message with one or more digital signatures. It includes the signer's certificate, the signature algorithm identifier, and the signature value. Recipients verify the signature to confirm the sender's identity (authenticity) and that the message was not modified (integrity).",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
es-006,email-signing,multiple-choice,intermediate,both,What is the KEMRecipientInfo structure introduced by RFC 9629?,A new TLS extension for PQC key exchange,A CMS recipient information type that uses KEM encapsulation instead of RSA key transport for encrypting content-encryption keys,A certificate extension for hybrid keys,A key management protocol for email servers,b,"KEMRecipientInfo (RFC 9629) is a new CMS RecipientInfo type that replaces traditional RSA key transport (KeyTransRecipientInfo) with KEM-based key establishment. The sender encapsulates a shared secret using the recipient's KEM public key, then derives the content-encryption key from that shared secret. This enables PQC email encryption using ML-KEM.",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
es-007,email-signing,multiple-choice,intermediate,both,How does PQC migration affect S/MIME email signature sizes?,Signatures remain the same size,ML-DSA signatures are significantly larger than RSA/ECDSA signatures — approximately 2.4KB for ML-DSA-44 vs 256 bytes for RSA-2048,PQC signatures are smaller than classical signatures,Email clients automatically compress PQC signatures,b,"ML-DSA-44 produces signatures of approximately 2,420 bytes, compared to 256 bytes for RSA-2048 or 64 bytes for ECDSA P-256. For emails with multiple signatures (e.g., signed and counter-signed), this size increase compounds. Email clients and servers must handle these larger payloads.",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
es-008,email-signing,multiple-choice,intermediate,both,What is CMS EnvelopedData used for in S/MIME?,Signing the email with the sender's private key,Encrypting the email content so only intended recipients can decrypt it,Compressing email attachments,Verifying the sender's certificate chain,b,"CMS EnvelopedData encrypts email content using a content-encryption key (CEK), which is then wrapped for each recipient using their public key. With PQC migration, the CEK wrapping transitions from RSA key transport to KEM-based encapsulation (via KEMRecipientInfo per RFC 9629).",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
es-009,email-signing,true-false,advanced,full,"True or False: With RFC 9629 KEMRecipientInfo, the sender encapsulates a shared secret using the recipient's ML-KEM public key and then derives the content-encryption key from this shared secret.",True,False,,,true,"True. The KEMRecipientInfo workflow is: (1) sender retrieves recipient's ML-KEM public key from their certificate, (2) sender runs KEM Encapsulate to produce a ciphertext and shared secret, (3) shared secret is used with a Key Derivation Function to derive the content-encryption key, (4) email content is encrypted with the CEK, and (5) the KEM ciphertext is included in the KEMRecipientInfo for the recipient to decapsulate.",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
es-010,email-signing,multi-select,advanced,full,Which of the following are challenges for PQC migration in email/CMS systems? (Select all that apply),Larger ML-DSA signatures increasing email message sizes,Recipient certificates must include PQC public keys for KEM-based encryption,Backward compatibility with clients that only support classical algorithms,Reduced hash function security,a|b|c,"PQC email migration faces: larger signatures (ML-DSA-44: ~2.4KB vs RSA-2048: ~256 bytes), requirement for recipients to have PQC certificates with KEM public keys, and backward compatibility challenges with legacy email clients. Hash function security is not a significant concern for email systems — SHA-256 remains quantum-resistant.",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
km-001,kms-pqc,multiple-choice,beginner,both,What does NIST SP 800-57 provide guidance on?,Post-quantum algorithm selection,Key management best practices including key lifecycle and key types,TLS protocol implementation,Quantum computer hardware requirements,b,"NIST SP 800-57 (Recommendation for Key Management) is the foundational standard for cryptographic key management. It covers key types, key lifecycle phases (generation, distribution, storage, use, rotation, destruction), key lengths, and organizational key management policies.",/learn/kms-pqc,researcher|architect|ops,Finance & Banking|Government & Defense|Healthcare|Technology
km-002,kms-pqc,multiple-choice,beginner,both,What are the main phases of the cryptographic key lifecycle?,Generate and Destroy only,"Generation, Distribution, Storage, Use, Rotation, and Destruction",Encrypt and Decrypt,Create and Archive,b,"The cryptographic key lifecycle includes: Generation (creating keys with sufficient randomness), Distribution (securely delivering keys to authorized parties), Storage (protecting keys at rest), Use (employing keys for their intended purpose), Rotation (periodically replacing keys), and Destruction (securely erasing keys when no longer needed).",/learn/kms-pqc,researcher|architect|ops,Finance & Banking|Government & Defense|Healthcare|Technology
km-003,hsm-pqc,multiple-choice,beginner,both,What is the primary purpose of a Hardware Security Module (HSM)?,Accelerating network traffic processing,"Generating, storing, and using cryptographic keys in tamper-resistant hardware",Compressing encrypted data for storage,Managing user authentication passwords,b,"An HSM is a dedicated hardware device that generates, stores, and manages cryptographic keys in a tamper-resistant environment. HSMs ensure keys never leave the secure boundary in plaintext, providing the highest level of key protection for critical operations like CA signing, payment processing, and code signing.",/learn/hsm-pqc,researcher|architect|ops,Finance & Banking|Government & Defense|Healthcare|Technology
km-004,hsm-pqc,true-false,beginner,both,True or False: FIPS 140-3 is the standard used to validate and certify Hardware Security Modules (HSMs) for government use.,True,False,,,true,"True. FIPS 140-3 (Security Requirements for Cryptographic Modules) defines security requirements for cryptographic modules including HSMs. Modules are validated at four levels (Level 1-4), with Level 3 being the most common for production HSMs. The Cryptographic Module Validation Program (CMVP) administers the certification process.",/learn/hsm-pqc,researcher|architect|ops,Finance & Banking|Government & Defense|Healthcare|Technology
km-005,hsm-pqc,multiple-choice,intermediate,both,What is PKCS#11 and why is it relevant to PQC key management?,A certificate format standard,A cryptographic token interface standard (API) that HSMs implement for key operations,A PQC algorithm specification,A network protocol for distributing encryption keys,b,"PKCS#11 (also known as Cryptoki) is the standard API for interacting with cryptographic tokens such as HSMs and smart cards. It defines operations for key generation, signing, encryption, and key management. For PQC migration, PKCS#11 must be extended to support new PQC key types (ML-KEM, ML-DSA) and their larger key sizes.",/learn/hsm-pqc,researcher|architect|ops,Finance & Banking|Government & Defense|Healthcare|Technology
km-006,kms-pqc,multiple-choice,intermediate,both,Why is key rotation particularly important during the PQC transition?,To reduce storage costs,To limit the exposure window if a key is compromised and to progressively transition from classical to PQC keys,To improve encryption speed,To comply with password rotation policies,b,"Key rotation during PQC transition serves two purposes: (1) it limits the exposure window for any single key (reducing HNDL risk), and (2) it provides natural migration points where classical keys can be replaced with hybrid or PQC keys without disrupting operations.",/learn/kms-pqc,researcher|architect|ops,Finance & Banking|Government & Defense|Healthcare|Technology
